data,Showalterindex,Liftedindex,LIFTcomputedusingvirtualtemperature,Kindex,Crosstotalsindex,Verticaltotalsindex,Totalstotalsindex,ConvectiveAvailablePotentialEnergy,CAPEusingvirtualtemperature,ConvectiveInhibition,CINSusingvirtualtemperature,Temp[K]oftheLiftedCondensationLevel,Pres[hPa]oftheLiftedCondensationLevel,Equivalentpotentialtemp[K]oftheLCL,Meanmixedlayerpotentialtemperature,Meanmixedlayermixingratio,1000hPato500hPathickness,Precipitablewater[mm]forentiresounding,contagem_raios,sim_nao,shear_index,BRNSH_index,shear_0_15000,shear_6000_15000,BRNSH_500_15000,BRNSH_6000_15000,EL,EL (Tv),LFC,LFC (Tv),Prof_cam_convec,Prof_cam_tv
2000-12-01,2.42,2.31,1.88,32.7,20.5,21.3,41.8,0.0,0.0,0.0,0.0,287.63,888.5,331.94,297.53,11.82,5701.0,33.25,103,sim,18.40398795962283,7.443001393239257,20.565780328146783,5.197668550648599,77.047861192352,34.641350394511505,0.0,0.0,0.0,0.0,0.0,0.0
2000-12-02,5.11,5.74,5.46,9.4,18.4,19.7,38.1,0.0,0.0,0.0,0.0,283.79,846.96,325.7,297.6,9.61,5708.0,25.9,0,nao,17.97768947821929,31.53947796356737,21.355591772527,12.60324761697022,126.29614738268026,30.446512595213147,0.0,0.0,0.0,0.0,0.0,0.0
2000-12-03,5.35,2.03,1.51,27.2,13.7,25.7,39.4,38.33,51.37,-408.98,-193.91,286.23,841.67,334.28,300.69,11.43,5735.0,23.99,608,sim,17.87496052295455,13.05384405536129,20.570313050046515,7.705854913605782,99.72631575877894,40.646002289375375,411.33,410.78,462.82,628.99,51.49000000000001,218.21000000000004
2000-12-04,0.49,0.2,0.11,31.7,18.9,26.9,45.8,41.93,62.24,-190.67,-154.23,287.07,830.61,338.97,302.72,12.24,5760.0,35.73,4207,sim,4.629960000000001,10.95785595772907,23.23485635406534,20.329682954619763,11.987636644166528,3.018460024569208,513.16,508.02,674.63,691.67,161.47000000000003,183.64999999999998
2000-12-05,3.76,2.21,1.59,29.1,18.0,20.3,38.3,0.0,3.78,-31.34,-9.33,289.1,873.47,339.46,300.5,13.25,5749.0,36.72,77,sim,16.46208,31.89202333573413,15.94764,9.758132790855504,70.13797000372386,9.337379501434716,596.86,589.45,598.07,685.41,1.2100000000000364,95.95999999999992
2000-12-06,5.77,5.37,4.9,22.9,17.5,19.3,36.8,0.0,0.0,0.0,0.0,285.17,860.02,328.04,297.74,10.37,5694.0,23.26,0,nao,33.82162656459515,23.49068811569936,17.421296113208935,23.87849462967501,120.03542040267897,33.51254327241122,0.0,0.0,0.0,0.0,0.0,0.0
2000-12-07,16.9,8.03,7.61,-35.1,-3.7,21.3,17.6,0.0,0.0,0.0,0.0,283.54,832.2,327.09,298.82,9.62,5747.0,10.88,0,nao,5.41668380194444,0.6690735586135221,18.656987076296986,14.44055014779829,17.309168198018227,10.37361522917847,0.0,0.0,0.0,0.0,0.0,0.0
2000-12-08,4.67,4.47,3.88,6.3,15.9,21.9,37.8,0.0,0.0,0.0,0.0,286.61,844.9,335.09,300.76,11.63,5764.0,19.4,0,nao,4.626043144180837,7.561522554296371,9.766562152068454,8.747145934547628,13.82229466796496,6.182396841002633,0.0,0.0,0.0,0.0,0.0,0.0
2000-12-09,3.37,2.48,1.8,25.9,15.5,25.5,41.0,0.0,0.02,0.0,-98.17,284.15,774.05,338.26,305.73,10.8,5778.0,23.04,1149,sim,9.258157276871415,20.58142255692374,17.815354137155598,10.206595090500072,48.55567659020702,6.285862376978948,0.0,683.97,0.0,688.41,0.0,4.439999999999941
2000-12-10,-2.95,-2.78,-3.44,34.6,23.4,26.1,49.5,409.49,549.97,-18.93,-14.85,288.18,822.69,344.4,304.72,13.27,5752.0,34.42,2272,sim,15.94764,9.463886668771872,26.75088000000001,10.952478262825808,60.44598588172112,19.967073426634705,274.8,275.79,775.2,787.73,500.40000000000003,511.94
